Name,Business Value,Specialty Popularity,Attention Heat,Predicted Heat,Carrying Capacity,V Index,Weibo fans(w),Weibo hypertalk(w),Group friend,Classes,Genders
1,86.92 ,66.40 ,86.05 ,74.02 ,89.41 ,97.00 ,3152.60 ,11000.00 ,68000.00 ,1.00 ,1.00 
2,87.37 ,87.38 ,80.83 ,83.32 ,89.39 ,93.11 ,4018.00 ,1770.00 ,47000.00 ,1.00 ,1.00 
3,87.84 ,80.19 ,81.35 ,92.46 ,86.39 ,89.61 ,6093.00 ,976.00 ,1791.00 ,1.00 ,0.00 
4,85.76 ,75.04 ,82.60 ,84.89 ,79.19 ,96.67 ,2023.60 ,175.00 ,3095.00 ,1.00 ,0.00 
5,82.40 ,69.82 ,76.17 ,92.44 ,79.38 ,87.63 ,2596.60 ,236.00 ,4872.00 ,2.00 ,1.00 
6,85.74 ,72.72 ,78.35 ,94.84 ,87.66 ,93.75 ,2402.60 ,293.00 ,2949.00 ,1.00 ,0.00 
7,83.23 ,74.91 ,79.41 ,75.78 ,85.08 ,92.31 ,8976.90 ,2337.00 ,2871.00 ,1.00 ,1.00 
8,85.07 ,68.24 ,76.14 ,97.80 ,88.54 ,89.31 ,2003.90 ,923.00 ,3490.00 ,1.00 ,1.00 
9,83.08 ,74.53 ,80.14 ,70.83 ,86.42 ,88.42 ,7873.40 ,1380.00 ,19000.00 ,1.00 ,0.00 
10,83.53 ,75.43 ,78.35 ,84.15 ,82.50 ,74.33 ,9042.50 ,559.00 ,20000.00 ,1.00 ,0.00 
11,85.51 ,77.57 ,81.36 ,82.83 ,82.92 ,84.94 ,11200.00 ,458.00 ,11000.00 ,1.00 ,0.00 
12,84.03 ,77.14 ,77.69 ,81.91 ,89.41 ,92.02 ,2120.50 ,305.00 ,2102.00 ,1.00 ,0.00 
13,80.90 ,72.33 ,72.33 ,93.18 ,82.43 ,87.63 ,2233.00 ,183.00 ,3067.00 ,1.00 ,1.00 
14,79.68 ,81.72 ,78.29 ,50.26 ,88.02 ,88.46 ,8242.70 ,2199.00 ,28000.00 ,2.00 ,1.00 
15,83.60 ,69.82 ,82.01 ,67.38 ,88.81 ,95.04 ,1832.80 ,449.00 ,2909.00 ,1.00 ,1.00 
16,61.60 ,28.74 ,72.20 ,5.12 ,78.03 ,59.06 ,813.60 ,42.50 ,799.00 ,3.00 ,1.00 
17,81.80 ,71.52 ,80.70 ,65.70 ,83.18 ,90.24 ,842.50 ,210.00 ,3451.00 ,2.00 ,1.00 
