Name,Business Value,Specialty Popularity,Attention Heat,Carrying Capacity,V Index,Weibo fans(w),Weibo hypertalk(w),Group friend,Classes,Genders,Rank
1,86.92,66.4,86.05,89.41,97.0,3152.6,11000.0,68000.0,1,1,191
2,87.37,87.38,80.83,89.39,93.11,4018.0,1770.0,47000.0,1,1,200
3,87.84,80.19,81.35,86.39,89.61,6093.0,976.0,1791.0,1,0,160
4,85.76,75.04,82.6,79.19,96.67,2023.6,175.0,3095.0,1,0,151
5,82.4,69.82,76.17,79.38,87.63,2596.6,236.0,4872.0,2,1,216
6,85.74,72.72,78.35,87.66,93.75,2402.6,293.0,2949.0,1,0,150
7,83.23,74.91,79.41,85.08,92.31,8976.9,2337.0,2871.0,1,1,184
8,85.07,68.24,76.14,88.54,89.31,2003.9,923.0,3490.0,1,1,167
9,83.08,74.53,80.14,86.42,88.42,7873.4,1380.0,19000.0,1,0,223
10,83.53,75.43,78.35,82.5,74.33,9042.5,559.0,20000.0,1,0,222
11,85.51,77.57,81.36,82.92,84.94,11200.0,458.0,11000.0,1,0,218
12,84.03,77.14,77.69,89.41,92.02,2120.5,305.0,2102.0,1,0,118
13,80.9,72.33,72.33,82.43,87.63,2233.0,183.0,3067.0,1,1,152
14,79.68,81.72,78.29,88.02,88.46,8242.7,2199.0,28000.0,2,1,213
15,83.6,69.82,82.01,88.81,95.04,1832.8,449.0,2909.0,1,1,141
16,61.6,28.74,72.2,78.03,59.06,813.6,42.5,799.0,3,1,44
17,81.8,71.52,80.7,83.18,90.24,842.5,210.0,3451.0,2,1,153
18,79.18,57.37,78.47,80.37,96.81,2775.6,563.0,3037.0,1,1,156
19,79.89,78.33,76.72,88.63,90.1,5073.5,1099.0,6942.0,1,1,235
20,79.27,67.55,74.2,83.68,87.73,1196.1,246.0,2963.0,1,1,138
21,78.58,80.23,74.96,83.3,82.46,3467.8,145.0,3668.0,1,0,180
22,75.74,63.86,70.98,77.15,85.44,364.8,5.7,563.0,1,0,25
23,80.0,75.54,77.28,86.17,92.16,2352.3,1043.0,7950.0,1,1,256
24,81.35,76.67,79.13,87.14,94.0,2501.4,1202.0,66000.0,1,1,192
25,78.93,66.43,73.72,76.36,81.07,1513.0,70.6,2028.0,1,1,101
26,77.64,74.26,75.14,78.06,84.76,1641.9,22.8,6248.0,1,0,246
27,75.83,71.4,73.51,77.15,92.36,515.1,23.4,275.0,1,0,22
28,80.56,69.55,79.81,86.19,87.26,2135.9,1669.0,52000.0,1,1,198
29,78.48,59.86,76.35,88.9,95.35,8420.6,3791.0,25000.0,2,1,214
30,73.33,57.09,72.83,81.52,77.44,3050.0,17.5,1491.0,1,0,116
31,81.14,78.67,72.85,77.13,93.4,10500.0,454.0,9793.0,1,0,219
32,79.6,68.82,81.03,84.28,89.68,7118.8,146.0,4408.0,1,0,196
33,75.21,67.62,73.7,70.34,90.35,713.6,6.9,1870.0,1,0,92
34,78.1,72.84,72.25,80.88,85.69,1286.3,23.1,4607.0,1,0,203
35,75.78,67.07,71.7,75.61,80.97,2034.4,257.0,5330.0,1,1,233
